Rk,PER,TS%,FTr,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
149,10.1,0.542,0.197,13.7,1.4,1.7,3.1,0.103,-1.8,1.2,-0.6,0.5
150,10.3,0.533,0.226,19.7,0.6,0.8,1.4,0.043,-2,-0.9,-2.9,-0.4
151,13.3,0.558,0.211,18.8,3.3,1.3,4.6,0.089,0.9,-0.3,0.5,1.6
152,4.7,0.489,0.051,14.6,-0.2,0.2,0,-0.002,-6,0.1,-5.9,-0.2
153,15.8,0.578,0.093,24.3,0.5,0.3,0.8,0.078,2,-1.5,0.6,0.3
153,16.3,0.584,0.096,23.8,0.6,0.2,0.8,0.082,2.6,-1.2,1.4,0.4
153,11.6,0.535,0.069,27.9,0,0.1,0,0.043,-2.7,-3.6,-6.3,-0.1
154,11.3,0.498,0.179,12.4,0.7,0.7,1.4,0.093,-2.6,0,-2.6,-0.1
155,13.2,0.555,0.122,17.3,2.9,2.4,5.3,0.109,0.4,0.3,0.7,1.6
156,9.3,0.521,0.065,13.5,0.8,0.9,1.8,0.078,-0.7,0.6,-0.1,0.5
157,13.3,0.467,0.132,18.9,-0.7,1.9,1.2,0.054,-2.5,1.3,-1.2,0.2
158,7.1,0.459,0.045,15.1,-1.1,0.3,-0.8,-0.036,-4,-0.6,-4.6,-0.7
159,18.2,0.526,0.339,21.7,2.6,3.1,5.6,0.137,1.1,2,3,2.5
160,19.3,0.522,0.287,26.4,1.3,1.7,3,0.076,1,0.2,1.2,1.5
161,18.3,0.54,0.328,27.6,2.3,2.5,4.8,0.091,1.8,0,1.7,2.4
161,14.7,0.468,0.263,30.8,-0.8,1.1,0.3,0.021,-0.1,0.7,0.6,0.4
161,19.6,0.567,0.354,26.6,3,1.5,4.5,0.114,2.4,-0.3,2.1,2
162,8.6,0.491,0.258,13.4,-0.1,1,0.9,0.041,-3.7,0.6,-3.1,-0.3
163,20.1,0.555,0.341,28.3,4.4,6.4,10.8,0.178,2.7,2.1,4.9,5
164,16,0.524,0.314,23,1.4,4.4,5.7,0.117,-1.3,0.4,-1,0.6
165,20,0.59,0.3,24.7,3.3,2.4,5.7,0.176,2.8,1.2,4,2.4
166,12.9,0.507,0.878,14.2,-0.2,0.6,0.4,0.045,-3.6,0.9,-2.7,-0.1
167,0.2,0.375,0,11.7,-0.1,0,0,-0.039,-7.5,-1.3,-8.8,-0.1
168,18.4,0.591,0.189,19.7,0.9,0.6,1.4,0.173,0.6,-0.2,0.4,0.2
169,10.3,0.507,0.329,19.4,-0.3,0.5,0.2,0.018,-3.1,-0.1,-3.2,-0.2
170,6.4,0.422,0.194,22.9,-0.7,0.3,-0.3,-0.058,-5.8,-0.3,-6,-0.3
171,14.9,0.54,0.273,23.2,2,0.5,2.5,0.058,1,-1.4,-0.5,0.8
172,17.6,0.568,0.273,18.2,4.1,4,8.1,0.146,0.2,0.6,0.8,1.8
173,10.9,0.502,0.218,20.5,0.1,1.2,1.3,0.073,-1.3,-0.1,-1.4,0.1
173,10.3,0.491,0.238,19.8,0,1,1,0.075,-1.4,0.4,-1,0.2
173,12.6,0.532,0.167,22.8,0.1,0.2,0.3,0.07,-1,-1.6,-2.6,0
174,7.8,0.466,0.328,12.5,-0.3,0.4,0.1,0.016,-4.9,0.2,-4.7,-0.2
174,5.7,0.644,0.667,17.9,0,0,0,-0.007,-9.9,2.1,-7.8,0
174,7.9,0.455,0.31,12.2,-0.2,0.4,0.1,0.018,-4.6,0.1,-4.5,-0.2
175,13.9,0.58,0.125,16.7,1.4,2.8,4.2,0.122,1.2,2,3.2,2.2
176,12.7,0.498,0.268,14.8,0.7,3.8,4.5,0.119,-1.7,3.6,1.9,1.8
177,16.5,0.585,0.229,23.6,4.2,1.9,6.1,0.126,2,-0.6,1.4,2
178,13.1,0.52,0.304,23.6,1.3,2,3.3,0.057,-0.2,-1.3,-1.5,0.3
179,7.1,0.477,0.125,16.3,-0.2,0.7,0.5,0.028,-3.1,-0.1,-3.2,-0.3
180,23.9,0.583,0.496,29,8.1,4.1,12.2,0.205,3.8,0.7,4.5,4.7
181,8.7,0.523,0.222,14.1,0.1,0.2,0.2,0.048,-4.7,-0.2,-4.9,-0.2
182,12.7,0.507,0.136,18.7,0.4,1.1,1.6,0.073,0.2,0.6,0.7,0.7
182,13.2,0.497,0.122,18.7,0.2,0.7,1,0.069,0.7,0.9,1.6,0.6
182,11.7,0.528,0.164,18.8,0.2,0.4,0.6,0.08,-0.9,0,-1,0.1
183,11.9,0.586,0.25,17.4,0.1,0.1,0.1,0.089,-2.5,-1.3,-3.8,0
183,0,,,11.5,0,0,0,-0.19,-14.1,5.8,-8.3,0
183,12.6,0.586,0.25,17.7,0.1,0.1,0.1,0.105,-1.8,-1.7,-3.5,0
184,14.2,0.562,0.944,15.1,1.7,1.4,3,0.149,-1.3,-0.6,-1.9,0
185,12.7,0.554,0.186,19.6,2.7,0.4,3.1,0.08,0,-1.8,-1.8,0.1
186,23.5,0.618,0.552,27.8,10.1,2.7,12.8,0.221,5.4,0.2,5.6,5.3
187,11.8,0.542,0.296,14.8,0.6,2.1,2.8,0.068,-1.5,1.1,-0.4,0.8
188,13.4,0.547,0.085,12.8,0.5,0.2,0.7,0.108,-0.8,0.1,-0.7,0.1
189,9.7,0.506,0.169,22.7,-0.2,0.5,0.4,0.035,-3.2,-1,-4.2,-0.3
190,14.6,0.517,0.453,20.2,1.2,0.4,1.6,0.094,0.3,-0.8,-0.5,0.3
191,7.6,0,0,4,0,0,0,0.018,-0.6,0.9,0.3,0
192,10.9,0.485,0.171,20.4,-0.1,0.1,0,0.002,-1.7,-1.7,-3.3,-0.1
193,15.3,0.576,0.443,17.1,0.3,0.2,0.5,0.116,-1.6,1.9,0.3,0.1
194,16.5,0.542,0.341,22.2,2.4,1.7,4.1,0.107,0,-0.7,-0.7,0.6
195,10.5,0.523,0.301,13.9,0.3,0.8,1.1,0.083,-3.1,-0.9,-3.9,-0.3
